time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2010-03-14T04:46:12.600Z,34.5,32,22,3.6,ml,19,128,,,us,usp000h9c5,2014-11-07T01:40:59.986Z,"Cyprus region",earthquake
2010-03-13T10:27:43.000Z,35.792,30.97,12.5,4.1,mb,23,115.9,,,us,usp000h9ad,2014-11-07T01:40:59.620Z,"eastern Mediterranean Sea",earthquake
2009-12-22T06:06:23.430Z,35.72,31.511,63.5,5.3,mwc,302,41.6,,1.09,us,usp000h58s,2015-02-11T17:19:16.000Z,"Cyprus region",earthquake
2009-11-24T02:00:01.540Z,35.975,30.033,15.6,4.5,mb,79,50.8,,,us,usp000h4c9,2014-11-07T01:40:08.481Z,"eastern Mediterranean Sea",earthquake
2009-11-07T03:13:41.000Z,36.064,31.833,83,4.5,mb,126,53.1,,,us,usp000h3tw,2014-11-07T01:40:05.002Z,"western Turkey",earthquake
2009-09-22T22:11:30.380Z,36.653,30.824,25.4,4.3,mb,171,50.3,,,us,usp000h1sp,2014-11-07T01:39:44.323Z,"western Turkey",earthquake
2009-09-16T14:09:45.170Z,34.781,33.129,27.9,4.8,mb,66,48.7,,1.17,us,usp000h1jr,2014-11-07T01:39:42.602Z,"Cyprus region",earthquake
2009-08-25T06:28:35.280Z,34.719,32.985,10,4.6,mb,100,79,,1.12,us,usp000h0um,2014-11-07T01:39:33.578Z,"Cyprus region",earthquake
2009-07-24T05:48:19.000Z,37.546,35.694,6.5,4.5,mb,62,55.6,,,us,usp000gzju,2014-11-07T01:39:21.110Z,"central Turkey",earthquake
2009-07-10T18:19:17.900Z,33.305,35.348,10,4,md,17,88.4,,,us,usp000gz3t,2014-11-07T01:39:18.683Z,"Lebanon - Syria region",earthquake
2009-06-23T04:49:21.000Z,35.969,30.047,12.3,4.5,mb,59,90.2,,,us,usp000gyh9,2014-11-07T01:39:11.267Z,"eastern Mediterranean Sea",earthquake
2009-06-17T04:29:12.000Z,36.047,36.02,10.4,5,mb,199,79.2,,,us,usp000gy9p,2014-11-07T01:39:10.098Z,"Turkey-Syria border region",earthquake
2009-05-19T20:35:40.090Z,25.233,37.702,10,4.6,mb,57,59,,1.14,us,usp000gxat,2014-11-07T01:38:59.269Z,"western Saudi Arabia",earthquake
2009-05-19T19:57:18.350Z,25.243,37.745,10,4.8,mwc,123,58.4,,0.87,us,usp000gxar,2015-02-11T17:19:07.000Z,"western Saudi Arabia",earthquake
2009-05-19T17:35:01.070Z,25.291,37.74,5,5.7,mwb,254,30.2,,0.92,us,usp000gxam,2015-02-12T22:01:34.188Z,"western Saudi Arabia",earthquake
2009-05-19T17:13:28.860Z,25.203,37.774,10,4.2,mb,47,59,,0.94,us,usp000gxak,2014-11-07T01:38:59.189Z,"western Saudi Arabia",earthquake
2009-05-19T16:54:31.080Z,25.248,37.703,10,5,mwc,139,59.5,,0.88,us,usp000gxaj,2015-02-11T17:19:07.000Z,"western Saudi Arabia",earthquake
2009-05-19T06:38:32.550Z,25.207,37.768,10,4.9,mwc,79,58.5,,1,us,usp000gxa6,2015-02-11T17:19:07.000Z,"western Saudi Arabia",earthquake
2009-05-19T01:51:33.010Z,25.305,37.726,10,4.3,mb,49,110.2,,0.95,us,usp000gx9x,2014-11-07T01:38:59.093Z,"western Saudi Arabia",earthquake
2009-05-18T07:47:55.530Z,25.394,37.593,10,4.4,mb,29,205.6,,1.13,us,usp000gx8z,2014-11-07T01:38:58.351Z,"western Saudi Arabia",earthquake
2009-05-18T07:41:06.390Z,25.451,37.799,10,4.1,mb,27,146,,0.87,us,usp000gx8x,2014-11-07T01:38:58.276Z,"western Saudi Arabia",earthquake
2009-05-17T20:21:07.710Z,25.338,37.724,10,4,mb,33,150.2,,1.03,us,usp000gx8g,2014-11-07T01:38:58.212Z,"western Saudi Arabia",earthquake
2009-05-17T19:50:06.240Z,25.212,37.597,10,4.6,mb,70,55.7,,1.16,us,usp000gx8f,2014-11-07T01:38:58.206Z,"western Saudi Arabia",earthquake
2009-05-17T19:20:08.860Z,25.378,37.745,10,4,mb,30,149.8,,1.06,us,usp000gx8d,2014-11-07T01:38:58.168Z,"western Saudi Arabia",earthquake
2009-01-17T07:45:26.800Z,37.096,36.313,5.6,4.6,mb,70,83.5,,,us,usp000gsqz,2014-11-07T01:38:13.025Z,"central Turkey",earthquake
2009-01-12T02:04:35.070Z,34.139,33.059,10,4.4,mb,42,81.7,,1.32,us,usp000gsgs,2014-11-07T01:38:11.585Z,"Cyprus region",earthquake
2008-12-25T12:43:51.000Z,35.815,30.357,41.2,3.7,m,20,89.6,,,us,usp000grex,2014-11-07T01:38:02.675Z,"eastern Mediterranean Sea",earthquake
2008-11-09T18:23:50.350Z,34.625,33.889,56.8,4.1,mb,51,66.9,,0.79,us,usp000gnaw,2014-11-07T01:37:42.886Z,"Cyprus region",earthquake
2008-11-09T05:16:46.780Z,34.884,30.83,45,3.3,m,7,238.5,,,us,usp000gn9f,2014-11-07T01:37:42.327Z,"eastern Mediterranean Sea",earthquake
2008-11-02T21:25:28.070Z,35.786,31.361,5,4.3,mb,75,139.9,,,us,usp000gmr2,2014-11-07T01:37:39.784Z,"Cyprus region",earthquake
2008-11-02T08:27:27.270Z,34.631,32.005,32,3.5,ml,13,87.1,,,us,usp000gmpe,2014-11-07T01:37:39.092Z,"Cyprus region",earthquake
2008-10-28T22:13:50.410Z,34.332,32.142,45,3.5,m,16,128.7,,,us,usp000gm8c,2014-11-07T01:37:33.228Z,"Cyprus region",earthquake
2008-10-26T07:14:29.250Z,34.825,34.051,9,3,ml,5,277.9,,,us,usp000gm21,2014-11-07T01:37:32.568Z,"Cyprus region",earthquake
2008-10-23T21:17:08.550Z,36.117,31.467,9.4,3.7,md,36,82.6,,,us,usp000gkw8,2014-11-07T01:37:31.845Z,"western Turkey",earthquake
2008-10-23T01:52:47.190Z,26.902,34.712,10,4.2,mb,16,199.2,,1.4,us,usp000gkug,2014-11-07T01:37:31.544Z,"Red Sea",earthquake
2008-10-19T22:20:51.000Z,37.056,30.344,100.6,4.1,mb,104,77.8,,,us,usp000gkm3,2014-11-07T01:37:30.557Z,"western Turkey",earthquake
2008-10-19T15:08:01.360Z,35.548,33.948,55,3.5,m,5,281.9,,,us,usp000gkkd,2014-11-07T01:37:30.481Z,"Cyprus region",earthquake
2008-10-19T14:07:59.680Z,34.859,33.971,26.2,4.3,mb,61,80.2,,0.94,us,usp000gkk7,2014-11-07T01:37:30.463Z,"Cyprus region",earthquake
2008-10-14T23:57:17.990Z,34.094,33.664,11,3.2,ml,6,287.9,,,us,usp000gk99,2014-11-07T01:37:29.278Z,"Cyprus region",earthquake
2008-10-10T17:14:04.810Z,35.44,31.17,35,3,ml,5,338.9,,,us,usp000gjw2,2014-11-07T01:37:26.937Z,"Cyprus region",earthquake
2008-10-09T16:23:51.290Z,35.516,31.306,10,3.6,ml,17,170,,1.11,us,usp000gjss,2014-11-07T01:37:26.410Z,"Cyprus region",earthquake
